territory,base,target30off,chosenPrice,discountPct,pricePointId
MYS,229.9,160.93,160.9,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNWVMiLCJwIjoiMTAzMjUifQ
NAM,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJOQU0iLCJwIjoiMTAyMDMifQ
NER,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJORVIiLCJwIjoiMTAxMDYifQ
NGA,19900.0,13930.0,13900.0,30.2,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJOR0EiLCJwIjoiMTAyMzUifQ
NIC,22.99,16.093,16.0,30.4,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJOSUMiLCJwIjoiMTAxNTgifQ
NLD,99.99,69.993,69.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJOTEQiLCJwIjoiMTAzODcifQ
NOR,1290.0,903.0,900.0,30.2,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJOT1IiLCJwIjoiMTAzMDIifQ
NPL,17.99,12.593,12.49,30.6,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJOUEwiLCJwIjoiMTAxMzkifQ
NRU,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJOUlUiLCJwIjoiMTAyMDMifQ
NZL,149.99,104.993,104.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJOWkwiLCJwIjoiMTA1MzIifQ
OMN,67.99,47.593,47.49,30.2,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJPTU4iLCJwIjoiMTAzMTQifQ
PAK,3900.0,2730.0,2749.0,29.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJQQUsiLCJwIjoiMTAyMjQifQ
PAN,49.99,34.993,34.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJQQU4iLCJwIjoiMTAyNTIifQ
PER,149.9,104.93,104.9,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJQRVIiLCJwIjoiMTAzMTQifQ
PHL,1490.0,1043.0,1040.0,30.2,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJQSEwiLCJwIjoiMTAyNTUifQ
PLW,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJQTFciLCJwIjoiMTAyMDMifQ
PNG,22.99,16.093,16.0,30.4,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJQTkciLCJwIjoiMTAxNTgifQ
